INFO:2015-06-04 00:00:01:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:00:24:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:00:47:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:01:10:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:01:33:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:01:56:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:02:19:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:02:42:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:03:05:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:03:29:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:03:52:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
